1,Shoes,Brown,chictopia5
1,Shorts,Blue,chictopia5
1,Sweater,Off White,chictopia5
2,Dress,Red,chictopia5
2,Flats,Brown,chictopia5
2,Jacket,Sky Blue,chictopia5
3,Bag,Brown,chictopia5
3,Jeans,Blue,chictopia5
3,Sandles,Black,chictopia5
3,Shirt,White,chictopia5
4,Bag,Brown,chictopia5
4,Coat,Black,chictopia5
4,Jumper,Black,chictopia5
5,Boots,Gray,chictopia5
5,Coat,Black,chictopia5
5,Shirt,Ivory,chictopia5
5,Shorts,Sky Blue,chictopia5
6,Dress,Navy,chictopia5
6,Flats,Brown,chictopia5
7,Jacket,Blue,chictopia5
8,Bag,White,chictopia5
8,Blouse,White,chictopia5
8,Pant,Black,chictopia5
8,Sandles,Black,chictopia5
9,Blouse,Navy,chictopia5
9,Shorts,Navy,chictopia5
9,Sneaker,Navy,chictopia5
10,Bag,Black,chictopia5
10,Boots,White,chictopia5
10,Shirt,White,chictopia5
10,Shorts,Black,chictopia5
11,Clog,Black,chictopia5
11,Dress,Black,chictopia5
12,Boots,Black,chictopia5
12,Hat,Orange,chictopia5
12,Necklace,Silver,chictopia5
12,Shorts,Sky Blue,chictopia5
12,T-Shirt,White,chictopia5
13,Jumper,Black,chictopia5
13,Necklace,Eggshell,chictopia5
13,Sandles,Black,chictopia5
14,Sandles,Black,chictopia5
14,Shorts,Black,chictopia5
14,T-Shirt,White,chictopia5
14,Vest,Black,chictopia5
15,Sandles,Black,chictopia5
15,Shorts,Black,chictopia5
15,Top,Off White,chictopia5
16,Dress,White,chictopia5
16,Necklace,Silver,chictopia5
16,Wedge,Black,chictopia5
17,Dress,Black,chictopia5
17,Shirt,Navy,chictopia5
18,Bag,Gray,chictopia5
18,Boots,Black,chictopia5
18,Dress,White,chictopia5
19,Blazer,Navy,chictopia5
19,Hat,Camel,chictopia5
19,Shorts,Black,chictopia5
19,Sneaker,Navy,chictopia5
20,Bag,Brown,chictopia5
20,Jeans,Black,chictopia5
20,Shirt,White,chictopia5
21,Blouse,White,chictopia5
21,Hat,Camel,chictopia5
21,Jeans,Gray,chictopia5
22,Hat,Green,chictopia5
22,Jeans,Black,chictopia5
22,Sweater,Black,chictopia5
36,Jumper,Sky Blue,chictopia7
36,Sneaker,White,chictopia7
36,Sunglasses,Silver,chictopia7
36,Coat,Pink,chictopia7
36,Heels,Black,chictopia7
36,Pant,Black,chictopia7
36,Top,Black,chictopia7
37,Flats,Black,chictopia7
37,Jacket,Black,chictopia7
37,Jeans,Black,chictopia7
37,Sweater,White,chictopia7
37,T-shirt,Gray,chictopia7
38,Pant,Black,chictopia7
38,Sweater,White,chictopia7
38,Wedge,Black,chictopia7
38,Bag,Black,chictopia7
38,Loafer,Black,chictopia7
38,Shirt,Red,chictopia7
38,Skirt,Black,chictopia7
39,Jacket,White,chictopia7
39,Pant,White,chictopia7
39,T-shirt,White,chictopia7
39,Wedge,Black,chictopia7
40,Boots,Black,chictopia7
40,Hat,Black,chictopia7
40,Jacket,Black,chictopia7
40,Pant,Black,chictopia7
40,Shirt,White,chictopia7
41,Bag,Black,chictopia7
41,Pant,Yellow,chictopia7
41,Top,White,chictopia7
41,Wedge,Black,chictopia7
42,Coat,Black,chictopia7
42,Flats,White,chictopia7
42,Jeans,Black,chictopia7
42,Top,White,chictopia7
43,Pant,Black,chictopia7
43,Sunglasses,Black,chictopia7
43,Vest,Black,chictopia7
43,Wedge,Black,chictopia7
43,Heels,Silver,chictopia7
43,Jeans,Sky Blue,chictopia7
43,Shirt,Sky Blue,chictopia7
43,Sweater,White,chictopia7
44,Hat,Black,chictopia7
44,Heels,Black,chictopia7
44,Pant,Purple,chictopia7
44,Shirt,Purple,chictopia7
45,Heels,Black,chictopia7
45,Jacket,Black,chictopia7
45,Jeans,Black,chictopia7
45,Sunglasses,Black,chictopia7
46,Hat,Black,chictopia7
46,Jeans,Blue,chictopia7
46,Sandal,Black,chictopia7
47,Jacket,Blue,chictopia7
47,Loafer,White,chictopia7
47,Skirt,Navy,chictopia7
47,Top,White,chictopia7
48,Bag,Black,chictopia7
48,Cardigan,Off White,chictopia7
48,Romper,Black,chictopia7
48,Sandal,Black,chictopia7
49,Flats,Silver,chictopia7
49,Hat,Beige,chictopia7
49,Shorts,White,chictopia7
49,Top,White,chictopia7
50,Skirt,White,chictopia7
50,Sneaker,Black,chictopia7
50,Top,White,chictopia7
50,Vest,Black,chictopia7
51,Bag,Camel,chictopia7
51,Sandal,Black,chictopia7
51,Shirt,Black,chictopia7
51,Shorts,Black,chictopia7
52,Boots,Black,chictopia7
52,Pant,Gray,chictopia7
52,Top,Navy,chictopia7
53,Bag,Black,chictopia7
53,Sandal,Black,chictopia7
53,Skirt,Black,chictopia7
53,Top,White,chictopia7
54,Pant,White,chictopia7
54,Sandal,Black,chictopia7
54,Sunglasses,Black,chictopia7
54,Top,White,chictopia7
55,Bag,Navy,chictopia7
55,Shorts,Silver,chictopia7
55,Sneaker,White,chictopia7
55,Top,White,chictopia7
56,Sandal,Black,chictopia7
56,Skirt,Black,chictopia7
56,Top,Black,chictopia7
56,Vest,Black,chictopia7
57,Bag,Black,chictopia7
57,Blazer,Black,chictopia7
57,Heels,Black,chictopia7
57,Shorts,Pink,chictopia7
57,Top,Black,chictopia7
58,Hat,Black,chictopia7
58,Jeans,White,chictopia7
58,Sandal,Black,chictopia7
58,Vest,Black,chictopia7
59,Sandal,Black,chictopia7
59,Shirt,White,chictopia7
59,Shorts,Silver,chictopia7
59,Vest,Black,chictopia7
60,Bag,Tan,chictopia7
60,Boots,Brown,chictopia7
60,Jeans,Blue,chictopia7
60,Shirt,White,chictopia7
61,Bag,Navy,chictopia7
61,Jumper,Navy,chictopia7
61,Sneaker,Navy,chictopia7
61,Watch,Black,chictopia7
62,Bag,Tan,chictopia7
62,Flats,White,chictopia7
62,Jeans,Blue,chictopia7
62,Shirt,White,chictopia7
63,Bag,Black,chictopia7
63,Flats,Tan,chictopia7
63,Pant,Black,chictopia7
63,Shirt,Black,chictopia7
63,Top,Black,chictopia7
64,Boots,Black,chictopia7
64,Coat,Gray,chictopia7
64,Jeans,Black,chictopia7
64,Scarf,Gray,chictopia7
64,Shirt,Black,chictopia7
65,Heels,Black,chictopia7
